track,artist
You Need To Calm Down,Taylor Swift
Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello"
Rolex,Ayo & Teo
Sweet,"Bangers Only, Hauhwii"
Your Woman,White Town
Super Bass,Nicki Minaj
Bandaids,Jxve
Beggin (original version),Madcon
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends"
Play with Fire (feat. Yacht Money),"Sam Tinnesz, Yacht Money"
Skechers,DripReport
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz"
911,"R3HAB, Timmy Trumpet"
Dernière danse,Indila
Move With Me,"Mafrendi, Fantastic Mr Marcel"
Blah Blah Blah,Armin van Buuren
Get Mine,DAVIS
First of the Year (Equinox),Skrillex
Red Right Hand (Peaky Blinders Theme) (Flood Remix),"Nick Cave & The Bad Seeds, Flood"
ily (i love you baby) (Topic Remix) [feat. Emilee],"Surf Mesa, Topic, Emilee"
"Hands of Gold (From ""Game of Thrones"")","Ed Sheeran, Danish National Symphony Orchestra, Christian Schumann"
Ghost,Confetti
Hello,OMFG
22,Gavin James
Trampoline (with ZAYN),"SHAED, ZAYN"
Love Really Hurts Without You,Billy Ocean
Play Date,Melanie Martinez
Boss Bitch,Doja Cat
Spirits,The Strumbellas
Primrose,Mary Spender
Helplessly Hoping,"Crosby, Stills & Nash"
How You Like That,BLACKPINK
Last Christmas,Taylor Swift
Panda,Desiigner
I Hope I Never Fall in Love Again,Kris Angelis
A Drop in the Ocean,Ron Pope
I Should Go,Levi Kreis
Turn To Stone,Ingrid Michaelson
Echo,Jason Walker
Be Still,The Fray
Hit the Road Jack,Ray Charles
Texaco,Wyne
False Art,"Ben Kessler, Lizzy McAlpine"
A Road to Find You,Chris Zurich
Wonderful Tonight,Eric Clapton
Vanilla Twilight,Owl City
Hymn for the Weekend,Coldplay
River,Bishop Briggs
I Can't Hate You,"Kayou., yaeow"
Pressure (feat. Tove Lo),"Martin Garrix, Tove Lo"
Cooler Than Me,"Mike Posner, Big Sean"
Love Is a Bitch,Two Feet
Can't Help Falling in Love,Elvis Presley
Can't Help Falling in Love,Haley Reinhart
Umbrella,Ember Island
It's You,HENRY
Hope Not,BLACKPINK
Body Like A Back Road,Sam Hunt
Lonely Again,"Bangers Only, Luke Chappell, Vibin Central"
Cut Off,Louyah
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine"
The Box,Roddy Ricch
It Wasn't Me,"Shaggy, Rik Rok"
You Don't Know Me,Michael Bublé
Good Feeling,Violent Femmes
Eenie Meenie,"Sean Kingston, Justin Bieber"
Airplanes,"B.o.B, Hayley Williams"
Dancing With Your Ghost,Sasha Alex Sloan
SugarCrash!,ElyOtto
Paris (feat. Cris Cab),"Willy William, Cris Cab"
Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign"
Put Your Head On My Shoulder,Paul Anka
Bad At Love,Halsey
7 Years,Lukas Graham
Heroes (we could be),"Alesso, Tove Lo"
New Americana,Halsey
Wiggle (feat. Snoop Dogg),"Jason Derulo, Snoop Dogg"
Arcade,Duncan Laurence
Runaway,AURORA
Let Me Down Slowly,Alec Benjamin
See the Sun,"Rai, Hunnah"
Naan Kudikka Poren,"Ratty Adhiththan, Sahi Siva, Selojan"
Lifeline,Reuben Gray
Yeah! (feat. Lil Jon & Ludacris),"Usher, Lil Jon, Ludacris"
Low (feat. T-Pain),"Flo Rida, T-Pain"
Boom Boom Pow,Black Eyed Peas
Smack That,"Akon, Eminem"
Let You Down,NF
The Ghost,NIVIRO
Best Part of Me (feat. YEBBA),"Ed Sheeran, Yebba"
Count on Me,Bruno Mars
To Find You,Sing Street
On My Way,Alex Lahey
IDK You Yet,Alexander 23
rainbow,Gatton
Trouble,Adam Jensen
You&I,Kim Jong Wan of NELL
Strike Up the Band (feat. Josef Cruickshank),"The Kinnardlys, Josef Cruickshank"
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon"
"Snow Tha Product: Bzrp Music Sessions, Vol. 39","Bizarrap, Snow Tha Product"
